City,Country,Continent,kcc,corr
Adiwerna,Indonesia,Asia,Am,0.9020763581444889
Arjawinangun,Indonesia,Asia,Am,0.9105746293607749
Astanajapura,Indonesia,Asia,Am,0.9105746293607749
Babakan,Indonesia,Asia,Af,0.9105746293607749
Bandung,Indonesia,Asia,Af,0.9105746293607749
Banjaran,Indonesia,Asia,Af,0.9105746293607749
Baturaja,Indonesia,Asia,Af,0.8957490585378484
Bekasi,Indonesia,Asia,Af,0.9039582515748951
Bengkulu,Indonesia,Asia,Af,0.8951236836734664
Bogor,Indonesia,Asia,Af,0.9109853563965258
Brebes,Indonesia,Asia,Am,0.9020763581444889
Butuan,Philippines,Asia,Af,0.8990484616936386
Ciamis,Indonesia,Asia,Am,0.9105746293607749
Ciampea,Indonesia,Asia,Af,0.9109853563965258
Cianjur,Indonesia,Asia,Af,0.9105746293607749
Cibadak,Indonesia,Asia,Af,0.9109853563965258
Cibinong,Indonesia,Asia,Af,0.9039582515748951
Cibitung,Indonesia,Asia,Af,0.9039582515748951
Cicalengka,Indonesia,Asia,Am,0.9105746293607749
Cikampek,Indonesia,Asia,Am,0.9105746293607749
Cikarang,Indonesia,Asia,Af,0.9039582515748951
Cikupa,Indonesia,Asia,Af,0.9039582515748951
Cilegon,Indonesia,Asia,Af,0.9039582515748951
Cileungsi,Indonesia,Asia,Af,0.9039582515748951
Cileunyi,Indonesia,Asia,Am,0.9105746293607749
Cimahi,Indonesia,Asia,Af,0.9105746293607749
Ciomas,Indonesia,Asia,Af,0.9109853563965258
Ciparay,Indonesia,Asia,Am,0.9105746293607749
Ciputat,Indonesia,Asia,Af,0.9039582515748951
Cirebon,Indonesia,Asia,Am,0.9105746293607749
Cisaat,Indonesia,Asia,Af,0.9109853563965258
Cisarua,Indonesia,Asia,Af,0.9039582515748951
Citeureup,Indonesia,Asia,Af,0.9039582515748951
Cotabato,Philippines,Asia,Af,0.8974716433611043
Curug,Indonesia,Asia,Af,0.9039582515748951
Dadiangas,Philippines,Asia,Af,0.9044092060232071
Davao,Philippines,Asia,Af,0.9037511444569523
Depok,Indonesia,Asia,Af,0.9085421008417778
Digos,Philippines,Asia,Af,0.9037511444569523
Garut,Indonesia,Asia,Am,0.9105746293607749
Indramayu,Indonesia,Asia,Am,0.9087380837918935
Jakarta,Indonesia,Asia,Af,0.9039582515748951
Karang Tengah,Indonesia,Asia,Af,0.9109853563965258
Karawang,Indonesia,Asia,Am,0.9039582515748951
Kebumen,Indonesia,Asia,Am,0.9020763581444889
Kedungwuni,Indonesia,Asia,Am,0.9020763581444889
Kemang,Indonesia,Asia,Af,0.9109853563965258
Koronadal,Philippines,Asia,Af,0.8969508830488259
Kresek,Indonesia,Asia,Af,0.9039582515748951
Lembang,Indonesia,Asia,Af,0.9105746293607749
Leuwiliang,Indonesia,Asia,Af,0.9109853563965258
Magelang,Indonesia,Asia,Am,0.9020763581444889
Majalaya,Indonesia,Asia,Am,0.9105746293607749
Marawi,Philippines,Asia,Af,0.8974716433611043
Metro,Indonesia,Asia,Af,0.905183546378762
Pacet,Indonesia,Asia,Af,0.9105746293607749
Padalarang,Indonesia,Asia,Af,0.9105746293607749
Pagadian,Philippines,Asia,Af,0.8974716433611043
Pamanukan,Indonesia,Asia,Am,0.9087380837918935
Pamulang,Indonesia,Asia,Af,0.9039582515748951
Pangkah,Indonesia,Asia,Am,0.9020763581444889
Parung,Indonesia,Asia,Af,0.9039582515748951
Pasarkemis,Indonesia,Asia,Af,0.9039582515748951
Paseh,Indonesia,Asia,Af,0.9105746293607749
Pekalongan,Indonesia,Asia,Af,0.9020763581444889
Pemalang,Indonesia,Asia,Af,0.9020763581444889
Plumbon,Indonesia,Asia,Am,0.9105746293607749
Prabumulih,Indonesia,Asia,Af,0.8957490585378484
Pringsewu,Indonesia,Asia,Af,0.905183546378762
Purwakarta,Indonesia,Asia,Am,0.9105746293607749
Purwokerto,Indonesia,Asia,Af,0.9020763581444889
Rancaekek,Indonesia,Asia,Am,0.9105746293607749
Rangkasbitung,Indonesia,Asia,Af,0.9039582515748951
Rengasdengklok,Indonesia,Asia,Am,0.9039582515748951
Sawangan,Indonesia,Asia,Af,0.9039582515748951
Sepatan,Indonesia,Asia,Af,0.9039582515748951
Serang,Indonesia,Asia,Af,0.9039582515748951
Soreang,Indonesia,Asia,Af,0.9105746293607749
Subang,Indonesia,Asia,Am,0.9105746293607749
Sukabumi,Indonesia,Asia,Af,0.9109853563965258
Sukaraja,Indonesia,Asia,Af,0.9109853563965258
Sumedang,Indonesia,Asia,Am,0.9105746293607749
Tagum,Philippines,Asia,Af,0.9037511444569523
Taman,Indonesia,Asia,Aw,0.8968774095271199
Tambun,Indonesia,Asia,Af,0.9039582515748951
Tangerang,Indonesia,Asia,Af,0.9039582515748951
Tasikmalaya,Indonesia,Asia,Am,0.9105746293607749
Tegal,Indonesia,Asia,Am,0.9020763581444889
Teluknaga,Indonesia,Asia,Af,0.9039582515748951
Weru,Indonesia,Asia,Am,0.9105746293607749
Zamboanga,Philippines,Asia,Af,0.8956823346126288
